date,BTC,ETH,SOL
2025-04-26,47.66847748152761,79.76977408931936,80.06178029036447
2025-04-27,47.68415746923084,80.0215795046133,80.15574784844988
2025-04-28,46.584558961730586,78.62669715504178,77.48658026060887
2025-04-29,46.10844400212099,77.9537361603737,76.41586793399952
2025-04-30,46.19377486091091,77.86268986390301,76.54293865876848
2025-05-01,46.20827333664507,77.79904696468897,76.54194395661011
2025-05-02,45.78779853558604,77.01068212829072,76.60903081272407
2025-05-03,44.466379974296814,74.95354901350987,73.46621479422762
2025-05-04,44.67087774734507,74.8823535912556,73.47313034658688
2025-05-05,45.08806198446075,75.00241221851009,72.93648044430029
2025-05-06,45.03958393324522,75.02311865032333,72.61068339221693
2025-05-07,39.97597967211016,62.325798179314496,60.49217523415842
2025-05-08,39.9740338197202,62.17343687674241,60.547432577765335
2025-05-09,40.710079042134886,80.37296351635686,65.91672363349103
2025-05-10,35.11586132808966,75.09348706520767,59.21697986347112
2025-05-11,32.53145065938892,73.18014576318825,56.03928349621082
2025-05-12,30.732710578770707,74.3726282651426,54.478945142167966
2025-05-13,30.838172850593367,73.96209114249656,49.867963924877614
2025-05-14,29.845361506866507,74.50757984806788,50.04021211156938
2025-05-15,30.05852524464951,75.63505075552334,52.450172457149705
2025-05-16,29.674127890643874,75.76030406380532,53.92229387904863
2025-05-17,29.776121081620627,75.60631807579666,53.30741064114412
2025-05-18,29.909387582795087,76.58488806353664,53.376762818639044
2025-05-19,30.240154240768334,76.71208720938189,53.78386985126067
2025-05-20,30.418462006817666,76.76670113164974,53.85483686315733
2025-05-21,30.344249164139427,76.27233075095026,53.51485880025716
2025-05-22,30.289703110259588,76.02622818264167,53.79667762258944
2025-05-23,24.57134125401886,71.06612971542773,48.840575152326174
2025-05-24,27.873239146756312,73.62375256360586,49.82160697558706
2025-05-25,27.870661027303147,73.27775207472087,49.822625440864684
2025-05-26,27.870137871353695,73.29250405381394,49.731111753599144
2025-05-27,27.81237619770466,73.28596384046479,49.5290311443065
2025-05-28,27.608844336524346,73.23711650391718,49.433167629298794
2025-05-29,27.899502889554295,73.21513114072059,50.22628621812708
2025-05-30,28.52935902421075,73.59825101205082,51.13896166718895
2025-05-31,29.116851737070036,75.2045635692566,54.80039978081266
2025-06-01,28.53380940098636,75.13314332819353,54.52402924017726
2025-06-02,28.602118714786762,75.12341295672249,54.199737517265056
2025-06-03,28.356115668499566,75.15123620284737,54.14975610289324
2025-06-04,27.81289403198526,74.92369800917464,53.87181427643779
2025-06-05,27.95034940406125,74.92929898431066,53.815424327300065
2025-06-06,29.049566626169433,78.99669643460176,56.71745474431391
2025-06-07,29.95182081571101,79.0129143931739,57.213592015206785
2025-06-08,24.611278124992705,56.8983487859238,48.127048289108934
2025-06-09,24.60551535160732,54.173551079403545,45.273532594963285
2025-06-10,27.06778878836207,50.02253427942303,47.660522303008165
2025-06-11,26.97464543418603,50.66694768187574,47.77040967469118
2025-06-12,27.1216709726264,50.78621192713141,48.100947553895175
2025-06-13,28.01118112727262,48.46907041150383,47.18781337527675
2025-06-14,27.948488044642612,48.54366396424599,46.399570331513225
2025-06-15,28.003966658367062,48.28892075541867,45.33570539945707
2025-06-16,27.997289329313684,48.31501039874535,48.39643114364259
2025-06-17,28.200986469046857,47.61344588332258,48.36442830013535
2025-06-18,27.844970651937334,47.926158323975464,47.43841304375111
2025-06-19,27.827396339991296,47.387728013978624,46.95812202415832
2025-06-20,27.624829717928666,47.38690378448059,46.85926275190857
2025-06-21,26.610799489430175,49.118032809880184,47.22413779572408
2025-06-22,26.323625284111774,50.19060341014866,47.040647401478296
2025-06-23,23.97191777754727,48.30983565513646,46.70964226434031
2025-06-24,27.541202642871713,54.70171219173901,55.290227898236424
2025-06-25,27.415566857907216,54.739505750708595,55.428234560301604
2025-06-26,27.61915930309164,54.77818961206303,55.50170791480391
2025-06-27,27.616361883335994,53.440449330321094,55.69549345935073
2025-06-28,27.431431562036536,53.41572188120054,56.1131261345928
2025-06-29,26.81595744631432,53.334036957885175,58.689251556642965
2025-06-30,26.448068215411908,52.616390521869874,56.0565267404048
2025-07-01,26.66824687282583,52.629693946273626,56.14493267043802
2025-07-02,26.87484479368586,53.49870908473062,58.19280607146702
2025-07-03,28.24536530008299,56.60086690928768,59.21974893937466
2025-07-04,28.25683099736651,56.61224446315282,59.174064118617174
2025-07-05,28.547980123945464,57.31570618771793,59.684348353560814
2025-07-06,26.92553633526666,52.88367463696117,57.00470369898568
2025-07-07,25.989783818513466,52.77087824707856,57.141581646048955
2025-07-08,25.942346594660986,52.63636084075697,57.3729420007256
2025-07-09,25.984633586428085,53.19246582478786,57.4889104328579
2025-07-10,23.713585652274638,52.2072594950842,56.06857563294226
2025-07-11,26.360266318156228,53.61587123262987,56.984274894099805
2025-07-12,26.180855915304647,53.47097987606711,56.56930725116904
2025-07-13,24.860236113242163,51.61309601465602,54.43892730122559
2025-07-14,25.044334215390325,50.71121844535499,53.739337779717374
2025-07-15,24.89762483633745,50.33873159715837,53.061031372517085
2025-07-16,25.717066052296687,51.27062372514496,50.99480374414465
2025-07-17,25.612494057239317,54.65962995367812,53.39228677366093
2025-07-18,24.502354323341656,54.4540944654365,52.79093666430326
2025-07-19,24.952570739427664,54.44015800730202,52.53150763669198
2025-07-20,24.959363339030965,54.34087028393705,52.59628605147185
2025-07-21,24.579216507904103,52.14376422583909,50.09433925534865
2025-07-22,23.744240017860534,47.586816730264275,51.647022580809875
2025-07-23,23.91848876576848,46.82143627782619,51.75898593162401
2025-07-24,21.28371869001966,44.38097276586125,53.11946918825065
2025-07-25,21.3591097122883,44.420299902861956,54.82420210850161
2025-07-26,21.427464666357036,43.84765711950495,54.43517765160982
2025-07-27,21.365629131595114,43.69801376284849,53.330346284407184
2025-07-28,21.51110374005685,43.84464193206674,53.275543492753094
2025-07-29,21.97806647395949,44.990127007499034,52.29617117938798
2025-07-30,21.919505270477277,45.024327923198435,52.420425828136
2025-07-31,21.50647468430007,44.72390256716376,52.848490540223004
2025-08-01,21.81641128436255,44.32515262332786,51.15899452055223
2025-08-02,21.397374625742692,46.27991079050017,53.284798867249904
2025-08-03,21.426962058011963,47.37220333495186,53.933550875603665
2025-08-04,21.27554032644993,46.08341154212238,53.37607515513062
2025-08-05,21.354612713951017,48.178596318702496,54.7430788833958
2025-08-06,21.470317435857503,49.552537693193386,55.23753139846883
2025-08-07,21.336009405364422,49.15305784905261,55.135378216251794
2025-08-08,22.01228406271952,50.87184032891619,56.04239222658454
2025-08-09,21.399557622994244,49.22888354496441,55.32979716841422
2025-08-10,18.025130739098486,49.189179718846475,54.410783511946406
2025-08-11,18.80626492641411,49.32156336409852,54.411206780158736
2025-08-12,18.847667747536157,49.335752305934996,55.93407587230488
2025-08-13,18.70499051610876,53.73367271077784,62.05054015378204
2025-08-14,20.254940783563,54.0069982759658,63.17137430169956
2025-08-15,23.282566796476765,56.222627061273165,65.01274706874315
2025-08-16,23.27576315969161,54.40332202950293,64.17105722559475
2025-08-17,23.207319391888117,53.98733545233938,64.36185858703082
2025-08-18,22.94015087799335,53.92047867249674,64.38293984583959
2025-08-19,23.15590231917518,55.53773291207804,65.90143717712522
2025-08-20,24.696775518128263,57.27456238416123,66.45979035296187
2025-08-21,25.028073437515815,59.70740021141112,64.3506979631814
2025-08-22,24.527146546246296,60.25970554088711,63.687996023944
2025-08-23,27.048169887169042,70.0377275446651,67.1592438652295
2025-08-24,27.274905958711543,70.2027393219276,66.25109152318139
2025-08-25,27.631322077974573,70.22523262183887,66.10206198174883
2025-08-26,28.714044028517062,75.42940014535216,71.98674046334477
2025-08-27,28.840024886858686,76.11848611953327,72.9978541098071
2025-08-28,28.712582225878126,76.1841758836358,73.07592216775406
2025-08-29,28.98524402694358,76.17865820784039,74.38047238649952
2025-08-30,30.708454982635768,76.97465095469198,75.52740857233803
2025-08-31,30.388730422582455,76.30120512956783,74.86577370402314
2025-09-01,29.839104938775833,73.77391071780666,72.72373019158746
2025-09-02,29.940812425073076,73.5898523996737,72.49327936838917
2025-09-03,30.137224023606514,73.31803174977657,74.05225362912711
2025-09-04,30.062265299848068,71.85797357065934,73.22546280912772
2025-09-05,30.063599709484933,72.15168924325579,73.56256021177822
2025-09-06,29.948126627989858,72.03885037148967,73.3772349750996
2025-09-07,29.198866507341382,70.22527489155567,72.8604889535825
2025-09-08,29.32034719181848,69.90927972417097,73.26708698060852
2025-09-09,29.452990375473902,67.65778246371636,73.692157528648
2025-09-10,28.513758689718266,67.65135083229748,73.7066496278617
2025-09-11,29.323602579772583,67.66653550623681,72.47867922679634
2025-09-12,29.379871240903764,63.22247484087797,67.73515611540819
2025-09-13,28.16987094491913,64.49770562613057,68.37403377926682
2025-09-14,25.411342575856892,63.16445201149369,66.59501694266213
2025-09-15,25.325288472668973,62.72585667347591,65.39363222690147
2025-09-16,25.31977945322504,62.993198922976624,66.11173308499177
2025-09-17,25.57194021702754,62.890967103089515,66.13380407414257
2025-09-18,25.379570321645822,62.02498992848783,64.5628338285505
2025-09-19,23.723627175582397,59.37859340074374,63.03872503182675
2025-09-20,23.793683878443677,57.46805316543296,62.87024174079912
2025-09-21,23.2661154706849,56.9430636478461,61.337337579356884
2025-09-22,20.374082099613624,41.00687378858673,54.43978263274426
2025-09-23,21.106551205658153,44.03072705449219,58.65546658545806
2025-09-24,20.597027012021915,44.016131396625404,59.293622481186816
2025-09-25,19.028595051839453,36.50557270930288,51.98072111167126
2025-09-26,21.831363972921466,38.53061755762955,58.015535222719926
2025-09-27,21.89406018221831,40.794223711809266,60.15901147028841
2025-09-28,21.588629520012546,40.76449319868293,57.99962028642146
2025-09-29,19.800576747365444,41.004289363815104,57.41927333187324
2025-09-30,20.476574178957286,41.377425452969206,57.35488229477043
2025-10-01,20.422319625958767,41.601843963803326,57.62288433377858
2025-10-02,22.98431505014194,43.57385355743861,59.537680036949226
2025-10-03,22.93993710278653,44.5006484211098,59.372351400675846
2025-10-04,23.146943366069532,43.79868706264678,59.44088294674841
2025-10-05,22.881461320899337,42.57089622953267,58.61557665965805
2025-10-06,22.910797046582836,42.59250753054947,58.616718627627094
2025-10-07,22.86487009510653,43.752467382518,58.42521813015302
2025-10-08,24.473820733774065,46.48299475122016,60.09732959430444
2025-10-09,24.680826521495707,46.69050721756906,60.10595819474197
2025-10-10,25.06600943261607,47.93185985041755,61.00884273051715
2025-10-11,32.634080213066106,60.96772603435121,74.44912694215593
2025-10-12,32.90917888467469,60.534514854395304,75.82303749972897
2025-10-13,34.82615130495704,66.23865560182145,79.89992972813702
2025-10-14,34.82410914043798,66.6052208612137,81.79048458915761
2025-10-15,35.1834277855378,66.94565137100011,81.98926416183103
2025-10-16,35.714708331136634,67.46556476499327,82.51089442143237
2025-10-17,36.0762236361551,67.69881145028735,83.22500450823325
2025-10-18,36.26207381335422,67.36819209684803,82.30632442763137
2025-10-19,36.27910331115967,67.6288727336037,82.9034620819715
2025-10-20,36.463283847826055,67.8604860145884,82.4934361186253
2025-10-21,36.92723294984667,67.83747030940067,82.61227220142516
2025-10-22,37.286478718600655,68.12985057755108,82.70191449595013
2025-10-23,36.81053747900104,66.3704039296116,80.83312675964763
2025-10-24,37.42263213123673,66.54370491342792,82.90572662777376
2025-10-25,37.34965631131978,66.85773618076838,82.96846749502144
2025-10-26,35.54851104174983,63.53459289239949,78.1189423066753
2025-10-27,36.21523531904968,64.01802555254193,76.25192494815347
2025-10-28,36.22965280206141,64.06709244094586,76.2432306472434
2025-10-29,35.828515152791496,64.24362315160283,75.73184966005671
2025-10-30,36.149270653179514,64.24316855164486,75.63410327833626
2025-10-31,36.419149983621345,64.42980509130113,76.8423027527213
2025-11-01,34.64747731583404,62.84508469844348,74.80983169137367
2025-11-02,34.17740481947163,62.01608815844486,72.28363975196719
2025-11-03,33.92451393878455,62.0657786488927,72.36958962376016
2025-11-04,35.34750605923257,66.02137468162562,79.40721081328284
2025-11-05,37.14165650817212,69.89553860578582,80.82496006527492
2025-11-06,37.74344307863861,69.96715695941779,82.09292802118672
2025-11-07,37.67463138028149,69.30107165565336,81.99673059310555
2025-11-08,37.96078935388302,70.24623421477911,82.44786796749783
2025-11-09,37.921168811090816,69.79579096961041,82.18322720497841
2025-11-10,33.16908832276204,61.52728584595714,71.8590417987825
2025-11-11,32.93704398886227,61.22275483397459,70.02135845074463
2025-11-12,31.55476880798726,53.49075965341261,66.77953430888616
2025-11-13,31.66984328233366,52.8914669824046,64.15116959701366
2025-11-14,31.658947094885097,54.17329622382309,65.26701061737896
2025-11-15,34.50281466874422,54.40427935489127,65.21758168270193
2025-11-16,34.34437658003619,54.813608844069236,64.31558812721504
2025-11-17,34.257545851767304,54.93407676417355,64.32552829747472
2025-11-18,34.65212830332012,54.79347467040287,64.30862396988275
2025-11-19,34.44422032868724,55.1912000881292,68.8263947690649
2025-11-20,33.84255812716767,55.593102727382885,68.76634519755247
2025-11-21,36.27696332256697,57.60817482888847,68.75899062258326
2025-11-22,36.420083000648596,57.68251361411873,68.98951986981638
2025-11-23,35.30305699316046,57.325358996809726,65.49452212754709
2025-11-24,36.27022816817777,56.97317475171321,66.07982214502617
2025-11-25,36.766232246349276,59.835820111994394,68.91509618753159
2025-11-26,35.40407540693401,57.05351827742319,67.93921423680254
2025-11-27,37.66499444672776,57.9806820096931,68.90514651873757
2025-11-28,37.95630294898707,57.536868481988044,68.83065349683986
2025-11-29,37.53800771134719,57.57520035220698,68.87229469692575
2025-11-30,37.43927679562225,57.39384882702262,67.76727113643467
2025-12-01,37.047786239000054,57.1495700462109,67.31298723958486
2025-12-02,38.6873205771618,59.40958241602934,68.75320651469657
2025-12-03,42.906263665698376,63.4169658474844,74.82572458515217
2025-12-04,42.73220577995966,62.90654108356757,68.6811356427346
2025-12-05,40.95024885102557,57.863509985179775,67.26555232637082
2025-12-06,41.0122898892007,57.368091148498344,66.55013329658657
2025-12-07,40.5911580418145,56.66176983973218,65.32383275338233
2025-12-08,40.167490376960636,55.43265417975356,63.608972889532524
2025-12-09,40.216734892441266,55.9621742711299,63.652935464572344
2025-12-10,40.192445509761065,56.95421283116063,63.47536595921442
2025-12-11,39.935602472182154,56.96307540426645,63.02248109018118
2025-12-12,39.396865086178266,56.212468748345835,58.85599642058372
2025-12-13,39.727184716128015,57.76596981542189,59.31164868868583
2025-12-14,39.51675334102936,55.961201346698154,57.51577098897026
2025-12-15,36.9493504390547,54.8972139721991,56.73564621546889
2025-12-16,37.10362991536101,55.34563662859817,56.80818856871633
2025-12-17,37.43823941695014,55.034911625560355,56.78398570904216
2025-12-18,37.186675832808625,56.17105008602907,56.4093526159971
2025-12-19,37.0714089489771,55.27443404213407,52.23143328869355
2025-12-20,38.07647685041659,56.78036105899956,54.48512981093276
2025-12-21,34.77681606921007,53.54336221941792,54.20719977288228
2025-12-22,34.29590328985094,53.00985575042343,53.06120351209343
2025-12-23,34.26105666770361,53.00987718932478,53.032366444808744
2025-12-24,33.76822268451784,53.15288975807299,52.62520465562832
2025-12-25,33.42501803264683,50.90012614141952,49.74537019807296
2025-12-26,33.31318120298305,51.064969553820404,49.89595422724323
2025-12-27,31.560265341223044,50.59028368822036,49.39017577671908
2025-12-28,31.48657875301361,50.64437619724019,49.826843262756235
2025-12-29,31.481522181792254,50.60672983115353,49.51317775029741
2025-12-30,31.536991999691054,50.47155228314374,49.63454866956543
2025-12-31,31.84266299923137,50.60695851060992,49.83032136791511
2026-01-01,28.884034488950082,46.49821817739085,46.763655625342466
2026-01-02,23.79421031242902,42.21466767072833,38.5673712230801
2026-01-03,22.956279896295882,39.4419530551326,38.183288490152414
2026-01-04,22.66228408278649,39.04260796980736,36.45931388913194
2026-01-05,20.844351193765036,37.53134526061477,34.319480156659395
2026-01-06,22.235220398760216,38.3124925674656,35.40942041010691
2026-01-07,22.120840835910467,38.68113127249666,35.81527198362321
2026-01-08,23.45683771729366,40.08057708583672,37.2448523754883
2026-01-09,22.45619683795173,36.06705243718053,36.08305129796749
2026-01-10,22.398709531536777,36.075485335132676,36.32302376119637
2026-01-11,22.329953481353467,35.29448272904475,36.32288503081749
2026-01-12,21.254337890065365,32.65418716328245,36.003719435541306
2026-01-13,21.274106050771216,32.64954520087019,36.00135678928111
2026-01-14,23.6927498403027,38.36362000433549,36.76779569083651
2026-01-15,23.037386758111314,36.85637375211872,36.40488928712897
2026-01-16,23.34420979921792,37.116792426016445,37.787142489781594
2026-01-17,22.334869863619456,34.02051273791778,35.035103947858296
2026-01-18,22.23358515323445,33.98507427212454,33.66667626141414
2026-01-19,21.277098036062135,31.136020855616113,32.57192460723577
2026-01-20,21.708043795318435,32.63437051946661,34.649671008984456
2026-01-21,25.855248747712906,40.64041769934185,38.87277304984658
2026-01-22,26.07890118987267,40.851850818713054,39.68494066230303
2026-01-23,25.80141910285509,40.75092600420046,39.51444985156214
2026-01-24,25.796714500750568,40.70779700344422,39.43743954205875
2026-01-25,25.766718583030862,40.48195357016194,38.912262937249935
